internal:subfile,tortilla:id,tortilla:file_format,tortilla:data_split,tortilla:offset,tortilla:length,stac:crs,stac:geotransform,stac:raster_shape,stac:time_start,stac:time_end,stac:centroid,rai:ele,rai:cisi,rai:gdp,rai:hdi,rai:gmi,rai:pop,rai:admin0,rai:admin1,rai:admin2,roi_id,old_roi_id,equi_id,equi_zone,label_type,s2_id,real_proj_shape,s2_mean_solar_azimuth_angle,s2_mean_solar_zenith_angle,thick_percentage,thin_percentage,cloud_shadow_percentage,clear_percentage,s2_l2a_gee,crs,width,height,transform.a,transform.b,transform.c,transform.d,transform.e,transform.f
"/vsisubfile/8780294076_1435144,/vsicurl/https://huggingface.co/datasets/tacofoundation/cloudsen12/resolve/main/cloudsen12-l1c.0004.part.taco",ROI_00009__20190513T180929_20190513T181344_T12SWH,TORTILLA,validation,8780294076,1435144,EPSG:32612,[ 5.4871e+05  1.0000e+01  0.0000e+00  4.2581e+06  0.0000e+00 -1.0000e+01],[512 512],1557771820.0,1557771820.0,POINT (-110.412462 38.446676),1629.8447265625,0.0,0.0,0.925379991531372,0.0031533648725599,0.0,United States,Utah,Wayne,ROI_00009,ROI_0009,NA5120_E1392N0675,,high,S2B_MSIL1C_20190513T180929_N0207_R084_T12SWH_20190513T214636,509,145.58040176,66.8645988026,0,0,0,100,20190513T180929_20190513T181344_T12SWH,EPSG:32612,1830,1830,60,0,499980,0,-60,4300020
"/vsisubfile/10465781362_1501969,/vsicurl/https://huggingface.co/datasets/tacofoundation/cloudsen12/resolve/main/cloudsen12-l1c.0004.part.taco",ROI_00001__20200308T141731_20200308T143551_T19FDF,TORTILLA,test,10465781362,1501969,EPSG:32719,"[ 4.40030e+05  1.00000e+01  0.00000e+00  4.57391e+06  0.00000e+00
 -1.00000e+01]",[512 512],1583678186.0,1583678186.0,POINT (-69.785036 -49.008072),454.96771240234375,0.0,580455.0625,0.856195867061615,0.0022369739599525,0.0,Argentina,Santa Cruz,Río Chico,ROI_00001,ROI_0001,SA5120_E1276N0328,SA,high,S2A_MSIL1C_20200308T141731_N0209_R010_T19FDF_20200308T185654,509,43.2158007995033,37.2163971145603,0,0,0,100,20200308T141731_20200308T143551_T19FDF,EPSG:32719,1830,1830,60,0,399960,0,-60,4600000
"/vsisubfile/31739924_1382417,/vsicurl/https://huggingface.co/datasets/tacofoundation/cloudsen12/resolve/main/cloudsen12-l1c.0000.part.taco",ROI_00007__20190831T180919_20190831T181408_T11SQR,TORTILLA,train,31739924,1382417,EPSG:32611,"[ 7.58880e+05  1.00000e+01  0.00000e+00  3.53523e+06  0.00000e+00
 -1.00000e+01]",[512 512],1567275929.0,1567275929.0,POINT (-114.235609 31.899856),83.51382446289062,0.0,0.0,0.8021836280822754,0.0033758434001356,0.0,Mexico,Sonora,San Luis Río Colorado,ROI_00007,ROI_0007,NA5120_E1300N0547,,high,S2B_MSIL1C_20190831T180919_N0208_R084_T11SQR_20190831T214618,509,140.63543144,61.1864944751,0,0,0,100,20190831T180919_20190831T181408_T11SQR,EPSG:32611,1830,1830,60,0,699960,0,-60,3600000
"/vsisubfile/10138555_1417605,/vsicurl/https://huggingface.co/datasets/tacofoundation/cloudsen12/resolve/main/cloudsen12-l1c.0000.part.taco",ROI_00004__20190414T143759_20190414T144503_T19KER,TORTILLA,train,10138555,1417605,EPSG:32719,"[ 5.02160e+05  1.00000e+01  0.00000e+00  7.56738e+06  0.00000e+00
 -1.00000e+01]",[512 512],1555253348.0,1555253348.0,POINT (-68.954266 -22.021252),3123.259765625,0.0017768886215028,0.0,0.8524449467658997,0.0032093012705445,0.0,Chile,RegiÃ³n de Antofagasta,Provincia de El Loa,ROI_00004,ROI_0004,SA5120_E1246N0915,SA,high,S2B_MSIL1C_20190414T143759_N0207_R096_T19KER_20190414T175952,509,41.9159968719,49.1973131874,0,0,0,100,20190414T143759_20190414T144503_T19KDR,EPSG:32719,1830,1830,60,0,399960,0,-60,7600000
"/vsisubfile/18931347_1514481,/vsicurl/https://huggingface.co/datasets/tacofoundation/cloudsen12/resolve/main/cloudsen12-l1c.0000.part.taco",ROI_00005__20200610T153631_20200610T154258_T17MNP,TORTILLA,train,18931347,1514481,EPSG:32717,"[ 5.56790e+05  1.00000e+01  0.00000e+00  9.34085e+06  0.00000e+00
 -1.00000e+01]",[512 512],1591803902.0,1591803902.0,POINT (-80.463739 -5.986218),16.486190795898438,0.0136194079475858,1427142.875,0.7400000095367432,0.0037020125892013,0.0,Peru,Piura,Sechura,ROI_00005,ROI_0005,SA5120_E0984N1250,SA,high,S2A_MSIL1C_20200610T153631_N0209_R068_T17MNP_20200610T202518,509,38.2945681616832,52.6131145412131,0,0,0,100,20200610T153631_20200610T154258_T17MNP,EPSG:32717,1830,1830,60,0,499980,0,-60,9400000
"/vsisubfile/26982661_1630994,/vsicurl/https://huggingface.co/datasets/tacofoundation/cloudsen12/resolve/main/cloudsen12-l1c.0000.part.taco",ROI_00006__20190831T150729_20190831T151107_T18LWJ,TORTILLA,train,26982661,1630994,EPSG:32718,[ 5.0060e+05  1.0000e+01  0.0000e+00  8.3319e+06  0.0000e+00 -1.0000e+01],[512 512],1567264637.0,1567264637.0,POINT (-74.970591 -15.111512),615.7518310546875,0.0132790119554188,14548871.0,0.7400000095367432,0.015901917591691,0.0,Peru,Ica,Nasca,ROI_00006,ROI_0006,SA5120_E1113N1058,SA,high,S2B_MSIL1C_20190831T150729_N0208_R082_T18LWJ_20190831T195407,509,48.3403724307,55.6229093634,0,0,0,100,20190831T150729_20190831T151107_T18LVJ,EPSG:32718,1830,1830,60,0,399960,0,-60,8400040
"/vsisubfile/1748449_1344557,/vsicurl/https://huggingface.co/datasets/tacofoundation/cloudsen12/resolve/main/cloudsen12-l1c.0000.part.taco",ROI_00002__20190602T142041_20190602T142839_T19GDN,TORTILLA,train,1748449,1344557,EPSG:32719,"[ 4.19020e+05  1.00000e+01  0.00000e+00  5.25122e+06  0.00000e+00
 -1.00000e+01]",[512 512],1559486091.0,1559486091.0,POINT (-69.960716 -42.910647),1208.77099609375,0.0001555979608817,104617.296875,0.8316771388053894,0.0019190293969586,0.0,Argentina,Chubut,Languiñeo,ROI_00002,ROI_0002,SA5120_E1260N0461,SA,high,S2A_MSIL1C_20190602T142041_N0207_R010_T19GDN_20190602T174119,509,29.6648974717,19.1178392614,0,0,0,100,20190602T142041_20190602T142839_T19GDN,EPSG:32719,1830,1830,60,0,399960,0,-60,5300020
"/vsisubfile/10471134133_1419986,/vsicurl/https://huggingface.co/datasets/tacofoundation/cloudsen12/resolve/main/cloudsen12-l1c.0004.part.taco",ROI_00010__20190907T112119_20190907T112853_T28QFG,TORTILLA,test,10471134133,1419986,EPSG:32628,[ 6.4858e+05  1.0000e+01  0.0000e+00  2.1432e+06  0.0000e+00 -1.0000e+01],[512 512],1567856167.0,1567856167.0,POINT (-13.561036 19.354121),92.9880828857422,0.0,465566.3125,0.5130000114440918,7.770613592583686e-05,0.0,Mauritania,Adrar,Aoujeft,ROI_00010,ROI_0010,AF5120_E0376N1452,AF,high,S2B_MSIL1C_20190907T112119_N0208_R037_T28QFG_20190907T140737,509,123.238422983,67.2013360047,0,0,0,100,20190907T112119_20190907T112853_T28QFG,EPSG:32628,1830,1830,60,0,600000,0,-60,2200020
"/vsisubfile/10475615678_1485211,/vsicurl/https://huggingface.co/datasets/tacofoundation/cloudsen12/resolve/main/cloudsen12-l1c.0004.part.taco",ROI_00011__20190306T103019_20190306T103540_T31REP,TORTILLA,test,10475615678,1485211,EPSG:32631,"[ 5.30070e+05  1.00000e+01  0.00000e+00  3.37364e+06  0.00000e+00
 -1.00000e+01]",[512 512],1551868952.0,1551868952.0,POINT (3.339936 30.471479),391.21978759765625,0.0,0.0,0.7450000047683716,0.0007335172849707,0.0,Algeria,Ghardaia,Ghardaia,ROI_00011,ROI_0011,AF5120_E0749N1660,AF,high,S2B_MSIL1C_20190306T103019_N0207_R108_T31REP_20190306T141638,509,150.451600263,49.8872064236,0,0,0,100,20190306T103019_20190306T103540_T31REP,EPSG:32631,1830,1830,60,0,499980,0,-60,3400020
"/vsisubfile/43294752_1522048,/vsicurl/https://huggingface.co/datasets/tacofoundation/cloudsen12/resolve/main/cloudsen12-l1c.0000.part.taco",ROI_00012__20191217T091309_20191217T092124_T34RFV,TORTILLA,train,43294752,1522048,EPSG:32634,"[ 6.40550e+05  1.00000e+01  0.00000e+00  3.44147e+06  0.00000e+00
 -1.00000e+01]",[512 512],1576574505.0,1576574505.0,POINT (22.500166 31.075261),133.38540649414062,0.0,0.0,0.7160000205039978,0.0012675875332206,0.0,Libya,Al Qubbah,Al Qubbah,ROI_00012,ROI_0012,AF5120_E1117N1658,AF,high,S2B_MSIL1C_20191217T091309_N0208_R050_T34RFV_20191217T112235,509,162.456135547,33.4316642766,0,0,0,100,20191217T091309_20191217T092124_T34RFV,EPSG:32634,1830,1830,60,0,600000,0,-60,3500040
