id_general,id,neon_gee,neon_date,crs,width,height,transform.a,transform.b,transform.c,transform.d,transform.e,transform.f,lon,lat,null_percent,cs_cdf,s2_date,diff_days,s2_l2a_gee,lr_path_dir,lr_60_path_dir,hr_path_dir,hr_path_dir_mini,sr_path_dir_mini,hr_60_path_dir_mini,sr_60_path_dir_mini,sr_corr_60_path_dir_mini,null_s2,land_cover
2018_MLBS_3,2018_MLBS_3__0_2,projects/neon-prod-earthengine/assets/HSI_REFL/001/2018_MLBS_3,2018-06-15,EPSG:32617,2560,2560,1.0,0.0,539120.0,0.0,-1.0,4146000.0,-80.54325020048908,37.448448298909405,48.93686652279778,0.9058823529411764,2018-07-08,23,20180708T155819_20180708T161248_T17SNB,/data/databases/Julio/sen2neon/s2/GeoTIFF/10-20-60m/2018_MLBS_3__0_2.tif,/data/databases/Julio/sen2neon/s2/GeoTIFF/60m/2018_MLBS_3__0_2.tif,/data/databases/Julio/sen2neon/neon/GeoTIFF/10m/2018_MLBS_3__0_2.tif,/data/databases/Julio/sen2neon/neon/GeoTIFF/hr_10m_crop/2018_MLBS_3__0_2.tif,/data/databases/Julio/sen2neon/s2/GeoTIFF/sr_10m_crop/2018_MLBS_3__0_2.tif,/data/databases/Julio/sen2neon/neon/GeoTIFF/hr_10m_crop_60/2018_MLBS_3__0_2.tif,/data/databases/Julio/sen2neon/s2/GeoTIFF/sr_60m_crop/2018_MLBS_3__0_2.tif,/data/databases/Julio/sen2neon/s2/GeoTIFF/sr_corr_60m_crop/2018_MLBS_3__0_2.tif,0.0,Tree cover
2018_MLBS_3,2018_MLBS_3__1_1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2018_MLBS_3,2018-06-15,EPSG:32617,2560,2560,1.0,0.0,536560.0,0.0,-1.0,4143440.0,-80.57232332530769,37.42548201629058,0.0,0.9019607843137256,2018-07-08,23,20180708T155819_20180708T161248_T17SNB,/data/databases/Julio/sen2neon/s2/GeoTIFF/10-20-60m/2018_MLBS_3__1_1.tif,/data/databases/Julio/sen2neon/s2/GeoTIFF/60m/2018_MLBS_3__1_1.tif,/data/databases/Julio/sen2neon/neon/GeoTIFF/10m/2018_MLBS_3__1_1.tif,/data/databases/Julio/sen2neon/neon/GeoTIFF/hr_10m_crop/2018_MLBS_3__1_1.tif,/data/databases/Julio/sen2neon/s2/GeoTIFF/sr_10m_crop/2018_MLBS_3__1_1.tif,/data/databases/Julio/sen2neon/neon/GeoTIFF/hr_10m_crop_60/2018_MLBS_3__1_1.tif,/data/databases/Julio/sen2neon/s2/GeoTIFF/sr_60m_crop/2018_MLBS_3__1_1.tif,/data/databases/Julio/sen2neon/s2/GeoTIFF/sr_corr_60m_crop/2018_MLBS_3__1_1.tif,0.0,Tree cover
2018_MLBS_3,2018_MLBS_3__1_2,projects/neon-prod-earthengine/assets/HSI_REFL/001/2018_MLBS_3,2018-06-15,EPSG:32617,2560,2560,1.0,0.0,539120.0,0.0,-1.0,4143440.0,-80.54339041056222,37.4253738000532,0.0,0.9058823529411764,2018-07-08,23,20180708T155819_20180708T161248_T17SNB,/data/databases/Julio/sen2neon/s2/GeoTIFF/10-20-60m/2018_MLBS_3__1_2.tif,/data/databases/Julio/sen2neon/s2/GeoTIFF/60m/2018_MLBS_3__1_2.tif,/data/databases/Julio/sen2neon/neon/GeoTIFF/10m/2018_MLBS_3__1_2.tif,/data/databases/Julio/sen2neon/neon/GeoTIFF/hr_10m_crop/2018_MLBS_3__1_2.tif,/data/databases/Julio/sen2neon/s2/GeoTIFF/sr_10m_crop/2018_MLBS_3__1_2.tif,/data/databases/Julio/sen2neon/neon/GeoTIFF/hr_10m_crop_60/2018_MLBS_3__1_2.tif,/data/databases/Julio/sen2neon/s2/GeoTIFF/sr_60m_crop/2018_MLBS_3__1_2.tif,/data/databases/Julio/sen2neon/s2/GeoTIFF/sr_corr_60m_crop/2018_MLBS_3__1_2.tif,0.0,Tree cover
2018_MLBS_3,2018_MLBS_3__1_3,projects/neon-prod-earthengine/assets/HSI_REFL/001/2018_MLBS_3,2018-06-15,EPSG:32617,2560,2560,1.0,0.0,541680.0,0.0,-1.0,4143440.0,-80.51445765556987,37.42525850283796,0.0891532896744135,0.9019607843137256,2018-07-08,23,20180708T155819_20180708T161248_T17SNB,/data/databases/Julio/sen2neon/s2/GeoTIFF/10-20-60m/2018_MLBS_3__1_3.tif,/data/databases/Julio/sen2neon/s2/GeoTIFF/60m/2018_MLBS_3__1_3.tif,/data/databases/Julio/sen2neon/neon/GeoTIFF/10m/2018_MLBS_3__1_3.tif,/data/databases/Julio/sen2neon/neon/GeoTIFF/hr_10m_crop/2018_MLBS_3__1_3.tif,/data/databases/Julio/sen2neon/s2/GeoTIFF/sr_10m_crop/2018_MLBS_3__1_3.tif,/data/databases/Julio/sen2neon/neon/GeoTIFF/hr_10m_crop_60/2018_MLBS_3__1_3.tif,/data/databases/Julio/sen2neon/s2/GeoTIFF/sr_60m_crop/2018_MLBS_3__1_3.tif,/data/databases/Julio/sen2neon/s2/GeoTIFF/sr_corr_60m_crop/2018_MLBS_3__1_3.tif,0.0,Tree cover
2018_MLBS_3,2018_MLBS_3__1_4,projects/neon-prod-earthengine/assets/HSI_REFL/001/2018_MLBS_3,2018-06-15,EPSG:32617,2560,2560,1.0,0.0,544240.0,0.0,-1.0,4143440.0,-80.48552507045157,37.42513612476981,0.0199019941798168,0.9019607843137256,2018-07-08,23,20180708T155819_20180708T161248_T17SNB,/data/databases/Julio/sen2neon/s2/GeoTIFF/10-20-60m/2018_MLBS_3__1_4.tif,/data/databases/Julio/sen2neon/s2/GeoTIFF/60m/2018_MLBS_3__1_4.tif,/data/databases/Julio/sen2neon/neon/GeoTIFF/10m/2018_MLBS_3__1_4.tif,/data/databases/Julio/sen2neon/neon/GeoTIFF/hr_10m_crop/2018_MLBS_3__1_4.tif,/data/databases/Julio/sen2neon/s2/GeoTIFF/sr_10m_crop/2018_MLBS_3__1_4.tif,/data/databases/Julio/sen2neon/neon/GeoTIFF/hr_10m_crop_60/2018_MLBS_3__1_4.tif,/data/databases/Julio/sen2neon/s2/GeoTIFF/sr_60m_crop/2018_MLBS_3__1_4.tif,/data/databases/Julio/sen2neon/s2/GeoTIFF/sr_corr_60m_crop/2018_MLBS_3__1_4.tif,0.0,Tree cover
2018_MLBS_3,2018_MLBS_3__2_1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2018_MLBS_3,2018-06-15,EPSG:32617,2560,2560,1.0,0.0,536560.0,0.0,-1.0,4140880.0,-80.57245450206699,37.40240733698209,0.044224431288015,0.9019607843137256,2018-07-08,23,20180708T155819_20180708T161248_T17SNB,/data/databases/Julio/sen2neon/s2/GeoTIFF/10-20-60m/2018_MLBS_3__2_1.tif,/data/databases/Julio/sen2neon/s2/GeoTIFF/60m/2018_MLBS_3__2_1.tif,/data/databases/Julio/sen2neon/neon/GeoTIFF/10m/2018_MLBS_3__2_1.tif,/data/databases/Julio/sen2neon/neon/GeoTIFF/hr_10m_crop/2018_MLBS_3__2_1.tif,/data/databases/Julio/sen2neon/s2/GeoTIFF/sr_10m_crop/2018_MLBS_3__2_1.tif,/data/databases/Julio/sen2neon/neon/GeoTIFF/hr_10m_crop_60/2018_MLBS_3__2_1.tif,/data/databases/Julio/sen2neon/s2/GeoTIFF/sr_60m_crop/2018_MLBS_3__2_1.tif,/data/databases/Julio/sen2neon/s2/GeoTIFF/sr_corr_60m_crop/2018_MLBS_3__2_1.tif,0.0,Tree cover
2018_MLBS_3,2018_MLBS_3__2_2,projects/neon-prod-earthengine/assets/HSI_REFL/001/2018_MLBS_3,2018-06-15,EPSG:32617,2560,2560,1.0,0.0,539120.0,0.0,-1.0,4140880.0,-80.5435304608822,37.40229921045436,0.0,0.9019607843137256,2018-07-08,23,20180708T155819_20180708T161248_T17SNB,/data/databases/Julio/sen2neon/s2/GeoTIFF/10-20-60m/2018_MLBS_3__2_2.tif,/data/databases/Julio/sen2neon/s2/GeoTIFF/60m/2018_MLBS_3__2_2.tif,/data/databases/Julio/sen2neon/neon/GeoTIFF/10m/2018_MLBS_3__2_2.tif,/data/databases/Julio/sen2neon/neon/GeoTIFF/hr_10m_crop/2018_MLBS_3__2_2.tif,/data/databases/Julio/sen2neon/s2/GeoTIFF/sr_10m_crop/2018_MLBS_3__2_2.tif,/data/databases/Julio/sen2neon/neon/GeoTIFF/hr_10m_crop_60/2018_MLBS_3__2_2.tif,/data/databases/Julio/sen2neon/s2/GeoTIFF/sr_60m_crop/2018_MLBS_3__2_2.tif,/data/databases/Julio/sen2neon/s2/GeoTIFF/sr_corr_60m_crop/2018_MLBS_3__2_2.tif,0.0,Tree cover
2018_MLBS_3,2018_MLBS_3__2_3,projects/neon-prod-earthengine/assets/HSI_REFL/001/2018_MLBS_3,2018-06-15,EPSG:32617,2560,2560,1.0,0.0,541680.0,0.0,-1.0,4140880.0,-80.51460657925877,37.40218400881854,0.0013994402239104,0.9058823529411764,2018-07-08,23,20180708T155819_20180708T161248_T17SNB,/data/databases/Julio/sen2neon/s2/GeoTIFF/10-20-60m/2018_MLBS_3__2_3.tif,/data/databases/Julio/sen2neon/s2/GeoTIFF/60m/2018_MLBS_3__2_3.tif,/data/databases/Julio/sen2neon/neon/GeoTIFF/10m/2018_MLBS_3__2_3.tif,/data/databases/Julio/sen2neon/neon/GeoTIFF/hr_10m_crop/2018_MLBS_3__2_3.tif,/data/databases/Julio/sen2neon/s2/GeoTIFF/sr_10m_crop/2018_MLBS_3__2_3.tif,/data/databases/Julio/sen2neon/neon/GeoTIFF/hr_10m_crop_60/2018_MLBS_3__2_3.tif,/data/databases/Julio/sen2neon/s2/GeoTIFF/sr_60m_crop/2018_MLBS_3__2_3.tif,/data/databases/Julio/sen2neon/s2/GeoTIFF/sr_corr_60m_crop/2018_MLBS_3__2_3.tif,0.0,Tree cover
2018_MLBS_3,2018_MLBS_3__2_4,projects/neon-prod-earthengine/assets/HSI_REFL/001/2018_MLBS_3,2018-06-15,EPSG:32617,2560,2560,1.0,0.0,544240.0,0.0,-1.0,4140880.0,-80.48568286730544,37.402061732199385,0.0324270291883246,0.9058823529411764,2018-07-08,23,20180708T155819_20180708T161248_T17SNB,/data/databases/Julio/sen2neon/s2/GeoTIFF/10-20-60m/2018_MLBS_3__2_4.tif,/data/databases/Julio/sen2neon/s2/GeoTIFF/60m/2018_MLBS_3__2_4.tif,/data/databases/Julio/sen2neon/neon/GeoTIFF/10m/2018_MLBS_3__2_4.tif,/data/databases/Julio/sen2neon/neon/GeoTIFF/hr_10m_crop/2018_MLBS_3__2_4.tif,/data/databases/Julio/sen2neon/s2/GeoTIFF/sr_10m_crop/2018_MLBS_3__2_4.tif,/data/databases/Julio/sen2neon/neon/GeoTIFF/hr_10m_crop_60/2018_MLBS_3__2_4.tif,/data/databases/Julio/sen2neon/s2/GeoTIFF/sr_60m_crop/2018_MLBS_3__2_4.tif,/data/databases/Julio/sen2neon/s2/GeoTIFF/sr_corr_60m_crop/2018_MLBS_3__2_4.tif,0.0,Tree cover
2018_MLBS_3,2018_MLBS_3__3_1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2018_MLBS_3,2018-06-15,EPSG:32617,2560,2560,1.0,0.0,536560.0,0.0,-1.0,4138320.0,-80.57258552937404,37.37933256700499,0.00118,0.9019607843137256,2018-07-08,23,20180708T155819_20180708T161248_T17SNB,/data/databases/Julio/sen2neon/s2/GeoTIFF/10-20-60m/2018_MLBS_3__3_1.tif,/data/databases/Julio/sen2neon/s2/GeoTIFF/60m/2018_MLBS_3__3_1.tif,/data/databases/Julio/sen2neon/neon/GeoTIFF/10m/2018_MLBS_3__3_1.tif,/data/databases/Julio/sen2neon/neon/GeoTIFF/hr_10m_crop/2018_MLBS_3__3_1.tif,/data/databases/Julio/sen2neon/s2/GeoTIFF/sr_10m_crop/2018_MLBS_3__3_1.tif,/data/databases/Julio/sen2neon/neon/GeoTIFF/hr_10m_crop_60/2018_MLBS_3__3_1.tif,/data/databases/Julio/sen2neon/s2/GeoTIFF/sr_60m_crop/2018_MLBS_3__3_1.tif,/data/databases/Julio/sen2neon/s2/GeoTIFF/sr_corr_60m_crop/2018_MLBS_3__3_1.tif,0.0,Tree cover
